Latitude,Longitude,Date,Depth (m),Temperature (°C),Salinity (PSU),Pressure (dbar),DOXY (Âµmol/kg),Nitrate (Âµmol/L),Phosphate (Âµmol/L),Silicate (Âµmol/L),pH,Chlorophyll-a (mg/mÂ³),Density (kg/mÂ³),Potential Density (kg/mÂ³),Total Alkalinity (Âµmol/kg),pCOâ (Âµatm),Fluorescence (a.u.),Turbidity (NTU),PAR (Âµmol/mÂ²/s),Ocean Region
19.98,61.92,4/10/2024 0:45,0,29.46,35.853,2,241.12,4.74,0.141,1.59,8.146,0.495,996.79,996.79,2246.4,431.6,1.995,2.227,2000,Arabian Sea
19.98,61.92,8/14/2024 1:41,111.1111111,26.65,35.801,109.2,170.84,5.54,0.71,5.77,7.991,0.382,997.31,997.33,2411.8,373.4,0.184,0.077,216.7,Arabian Sea
19.98,61.92,2/25/2024 2:17,222.2222222,24.22,35.795,223.7,140.41,8.54,0.731,10.06,8.069,0.409,997.79,997.83,2329.4,359.3,0.32,0.17,23.5,Arabian Sea
19.98,61.92,6/3/2025 8:51,333.3333333,22.99,35.755,335.3,144.47,11.13,1.099,14.31,8.011,0.102,998.01,998.08,2338.2,345.4,0.035,0.155,2.5,Arabian Sea
19.98,61.92,9/5/2024 9:16,444.4444444,19.68,35.171,443.7,137.2,11.02,1.13,18.63,7.952,0.096,998.2,998.29,2348.3,374.5,0.01,0.043,0.3,Arabian Sea
19.98,61.92,5/3/2024 0:59,555.5555556,17.62,35.894,556.6,170.22,14.38,1.309,22.93,7.87,0.014,999.19,999.3,2286.5,382.9,0.021,0.003,0,Arabian Sea
19.98,61.92,2/9/2024 21:30,666.6666667,16.55,35.552,666.2,165.19,18,1.653,26.71,7.923,0.002,999.13,999.26,2234.5,333.1,0.011,0,0,Arabian Sea
19.98,61.92,11/29/2024 7:10,777.7777778,13.91,36.185,778.9,109.45,18,2.023,31.66,7.84,0.03,1000.17,1000.33,2370,360.3,0.008,0.002,0,Arabian Sea
19.98,61.92,1/8/2024 10:37,888.8888889,11.75,36.429,887.7,159.93,19.29,1.82,35.69,7.812,0.017,1000.79,1000.97,2314.3,327,0.003,0.001,0,Arabian Sea
19.98,61.92,12/19/2024 21:07,1000,8.2,36.062,999.4,89.15,21.07,2.294,40.45,7.874,0.004,1001.21,1001.41,2394.7,363.9,0.001,0,0,Arabian Sea
-21.16,59.34,1/3/2025 1:01,0,29.9,34.162,-0.1,240.88,4.04,0.45,1.71,8.053,1.281,995.35,995.35,2276.9,367.7,0.448,0.293,2000,South Indian Ocean
-21.16,59.34,4/23/2025 4:56,111.1111111,26.02,35.023,112.2,237.53,4.8,0.472,5.19,8.018,0.319,996.81,996.83,2334.8,421.8,0.074,0.51,216.7,South Indian Ocean
